Number,Hotel Names,Hotel Ratings,Number of Reviews,Hotel Prices
98,Apartments WS Saint-Lazare - Opera,7.4,"1,288 reviews",$244
99,CMG - Grands boulevards / Rex,6.9,38 reviews,$246
100,Hôtel Apollo Opéra,7.0,954 reviews,$246
101,Chatillon Paris Montparnasse,8.1,"1,361 reviews",$247
102,ibis Paris Porte de Montreuil,6.1,"3,351 reviews",$247
103,Monsieur montmartre,unrated,no review,$248
104,Hotel Campanile Paris-Bercy Village,7.9,"6,801 reviews",$248
105,Hôtel Opera Lafayette,7.4,"1,968 reviews",$249
106,Hotel Paris Villette,7.5,"1,102 reviews",$250
107,Campanile Paris 19 - La Villette,7.9,"5,725 reviews",$250
108,Campanile Paris 14 - Maine Montparnasse,7.9,"3,282 reviews",$252
109,Hôtel Joséphine by Happyculture,8.0,"1,534 reviews",$252
110,B&B HOTEL Paris Nord 18ème,7.4,"3,400 reviews",$252
111,Excelsior Batignolles,8.1,"1,363 reviews",$252
112,Residence central marais,8.0,133 reviews,$252
113,Nature and Haven of Peace Apartment,7.8,43 reviews,$253
114,Residhome Paris Rosa Parks,8.2,"2,705 reviews",$253
115,55 Hôtel Montparnasse,7.7,"1,926 reviews",$253
116,ibis Paris 17 Clichy-Batignolles,6.4,"6,540 reviews",$253
117,Appartement Quartier MontmartreSaint LazareLafayette,7.2,18 reviews,$255
118,Hotel Eden Montmartre,7.9,"1,549 reviews",$255
119,ibis Styles Paris Nation Porte De Montreuil,7.6,"1,918 reviews",$255
120,Hotel d'Amiens,8.1,"1,641 reviews",$256
121,Ibis Styles Paris Batignolles,8.1,"1,067 reviews",$256
122,Porte de Versailles Hotel,7.9,"1,075 reviews",$256
123,Apartment Arc de Triomphe Champs Elysées,8.5,2 reviews,$257
124,Hotel le 18 Paris,7.8,"1,683 reviews",$257
125,Hôtel Alane,7.7,"1,463 reviews",$257
126,Hôtel Clarisse,8.0,837 reviews,$258
127,Da Vinci Apartment Paris Montmartre,8.0,115 reviews,$258
128,Hipotel Paris Voltaire Bastille,7.1,"2,575 reviews",$259
129,CAMBRONNE 4 TOUR EIFFEL PARIS,6.3,10 reviews,$260
130,Hôtel Hor Les Lumières,8.3,"2,490 reviews",$261
131,Libertel Austerlitz Jardin des Plantes,7.9,"2,109 reviews",$262
132,Best Western Plus 61 Paris Nation Hotel,7.7,"1,529 reviews",$263
133,ibis Paris Canal Saint Martin,7.8,"1,636 reviews",$263
134,RESIDENCE NATION,8.5,28 reviews,$263
135,Hôtel De Nice,8.1,"1,657 reviews",$263
136,Grand Hotel Dore,8.2,989 reviews,$263
137,Hôtel Orchidée,8.4,"3,277 reviews",$263
138,Hôtel Sanso by HappyCulture,8.5,"2,012 reviews",$263
139,Kyriad Hotel XIII Italie Gobelins,8.0,"4,350 reviews",$263
140,Hotel Hauteville Opera,6.9,971 reviews,$263
141,Amazing Residence Caire Montorgueil,8.5,12 reviews,$264
142,Apartments WS Opéra - Laffitte,7.6,756 reviews,$264
143,Apartments WS Hôtel de Ville - Beaubourg,7.3,344 reviews,$264
144,ibis Paris La Villette Cité des Sciences 19ème,7.3,"1,678 reviews",$264
145,Cosy 4 People near Montmartre and opera,6.6,41 reviews,$265
146,Mercure Paris 19 Philharmonie La Villette,6.9,"2,825 reviews",$266
147,Hôtel Léna,7.7,"1,608 reviews",$266
148,Hotel Terminus Lyon,7.8,"3,964 reviews",$266
149,Hotel Marena,7.8,"1,254 reviews",$267
150,Hôtel Baldi by Magna Arbor,7.5,"2,355 reviews",$267
151,Hôtel Lumières Montmartre Paris,7.4,"1,763 reviews",$267
152,Nouvel Hôtel,7.7,"1,230 reviews",$267
153,"The Originals City, Hôtel Lecourbe, Paris Tour Eiffel (Inter-Hotel)",7.9,"1,631 reviews",$268
154,Hôtel De La Paix,8.3,"2,017 reviews",$268
155,Charming Apartment- 2BR6P- Gare Montparnasse,7.9,15 reviews,$268
156,Exceptional Home close to the Eiffel Tower,7.8,15 reviews,$268
157,Hotel André Latin,8.1,"1,383 reviews",$269
158,Hôtel Istria by Magna Arbor,7.7,"2,170 reviews",$269
159,Apollon Montparnasse,7.9,"1,813 reviews",$269
160,Hôtel Lodge In Paris 13,6.7,"2,487 reviews",$269
161,ibis Paris Avenue d'Italie 13ème,7.6,"3,747 reviews",$269
162,Exe Paris centre,8.1,"1,698 reviews",$270
163,Libertel Gare de L'Est Francais,8.0,"2,284 reviews",$271
164,Charming Appartement 6P3BR Le Marais 2B,7.6,15 reviews,$271
165,Quartier Latin! 3 best Apartments in Paris,8.6,223 reviews,$272
166,Pick A Flat's Apartments in Bastille - Rue du Faubourg Saint-Antoine,unrated,no review,$272
167,Courcelles Etoile,8.2,"1,408 reviews",$272
168,Hôtel Brittany,8.5,317 reviews,$272
169,Arcadie Montparnasse,8.1,"2,184 reviews",$273
170,New Hotel Saint Lazare,6.3,"1,428 reviews",$273
171,ibis Paris Alesia Montparnasse,7.5,"3,240 reviews",$274
172,Luxury 2 Bedroom - Notre Dame,9.3,3 reviews,$274
173,Hôtel Paris La Fayette,7.9,"2,226 reviews",$274
174,Luxury 2 Bedroom & 1 Bathroom - Le Marais,7.1,7 reviews,$274
175,Timhotel Paris Gare de l'Est,7.6,"1,739 reviews",$275
176,Timhotel Paris Gare de l'Est,7.6,"1,739 reviews",$275
177,CMG Résidence Saint Lazare,6.5,46 reviews,$275
178,Apartment well decorated in paris 8th,unrated,24 external reviews,$275
179,ibis Paris Nation Davout,7.8,146 reviews,$275
180,Hôtel Gaston,8.1,"1,020 reviews",$275
181,Alyss Saphir Cambronne Eiffel,7.4,"1,089 reviews",$275
182,Timhotel Paris Gare Montparnasse,7.1,"2,253 reviews",$276
183,"TOWN HOUSE, WITH GARDEN AND PARKING",unrated,41 external reviews,$277
184,ibis Paris Gare De L Est 10ème,7.4,869 reviews,$277
185,ibis Paris Gare De L'Est TGV,7.4,"1,981 reviews",$277
186,Hôtel Emile Le Marais,7.9,"1,518 reviews",$277
187,ibis Paris Gare du Nord La Fayette,7.1,"1,567 reviews",$277
188,Hotel Terminus Montparnasse,7.4,"2,714 reviews",$278
189,Hôtel Avama Prony,7.8,908 reviews,$278
190,Hotel Ariane Montparnasse by Patrick Hayat,8.1,330 reviews,$278
191,Hotel du Chemin Vert,7.6,"1,987 reviews",$278
192,Sacré-Cœur at Your Feet Private Terrace Retreat,8.7,9 reviews,$278
193,Kyriad Paris 18 - Porte de Clignancourt - Montmartre,8.1,"3,933 reviews",$278
194,Exe Panorama,8.2,"1,894 reviews",$278
195,Sure Hotel by Best Western Paris Gare du Nord,7.0,961 reviews,$278
196,Hotel Claret,6.4,"2,100 reviews",$279
197,Amadeus Hotel,7.6,"1,313 reviews",$280
198,Waldorf Montparnasse,8.1,"1,664 reviews",$280
199,Maison le Bac Paris Aparthotel,8.2,609 reviews,$280
200,Hôtel Aurore Paris Gare de Lyon,8.0,"1,525 reviews",$281
201,Hotel Korner Eiffel,7.9,"1,751 reviews",$281
202,Les Rebelles,8.8,"1,206 reviews",$281
203,Hotel Nation Montmartre,6.7,212 reviews,$283
204,Hotel Inn Design Paris Place d’Italie (ex Timhotel),7.9,"3,223 reviews",$283
205,Hotel Corona Rodier,7.0,"1,490 reviews",$283
206,Hotel Saint Cyr Etoile,8.1,"1,103 reviews",$283
207,Hôtel Paris Gambetta,7.5,"1,107 reviews",$284
208,Hotel Le Rocroy,7.9,"1,122 reviews",$284
209,Timhotel Paris Gare de Lyon,7.4,"2,077 reviews",$284
210,Pick A Flat's Apartements in Javel near Eiffel Tower - Rue de Javel,unrated,no review,$285
211,Hotel Vacances Bleues Villa Modigliani,7.9,"2,706 reviews",$285
212,Beautiful mini Loft near Saint-Lazare,7.2,13 reviews,$285
213,ATN Hôtel,7.9,"1,650 reviews",$286
214,Hôtel de Genève,7.4,"2,101 reviews",$286
215,Hôtel Exquis by Elegancia,8.5,"1,389 reviews",$288
216,Cosy 2 bedrooms apartment with bathrooms - Louvre,7.9,55 reviews,$288
217,Pink Hotel,8.1,"1,105 reviews",$289
218,Le Mireille,8.3,"2,276 reviews",$289
219,VLH Montparnasse Eiffel,8.4,94 reviews,$290
220,Hipotel Lilas Gambetta,7.7,"1,383 reviews",$290
221,Hotel de Paris Montmartre,8.1,"3,129 reviews",$291
222,Hotel Acadia - Astotel,8.6,617 reviews,$291
223,Hotel Antin Trinité,7.0,"1,798 reviews",$291
224,Hotel Jenner,7.8,"1,039 reviews",$291
225,Makom Pereire,7.6,474 reviews,$292
226,Comfort Hotel Nation Père Lachaise,6.9,"1,539 reviews",$292
227,ibis Paris Ornano Montmartre Nord 18ème,7.3,"1,106 reviews",$293
228,Green hotels Confort Paris 13,7.7,"1,251 reviews",$293
229,Hotel Vacances Bleues Provinces Opera,8.2,"4,517 reviews",$294
230,Cosmotel Hotel,8.4,"1,668 reviews",$294
231,Grand Hotel Du Calvados,6.9,831 reviews,$294
232,Hôtel de l'Exposition - République,6.7,927 reviews,$294
