Number,Hotel Names,Hotel Ratings,Number of Reviews,Hotel Prices
427,Hotel Paris Louis Blanc,8.2,"3,341 reviews",$350
428,Hotel Monceau Wagram,7.3,"1,384 reviews",$350
429,Chatelet les Halles Superb Appartment,8.9,12 reviews,$350
430,ibis Styles Paris Nation Cours de Vincennes,7.8,800 reviews,$351
431,CMG - Place des Vosges,8.5,4 reviews,$351
432,Hôtel Crayon by Elegancia,7.9,637 reviews,$351
433,Abaca Messidor by Happyculture,8.0,"2,916 reviews",$351
434,Jack's Hotel,8.0,"1,168 reviews",$351
435,9Hotel Bastille-Lyon,8.0,"1,956 reviews",$351
436,Mercure Paris Montmartre Sacré Coeur,7.9,"2,001 reviews",$351
437,My Opéra II,8.3,26 reviews,$352
438,Hotel Du Beaumont,8.1,"1,471 reviews",$352
439,Maison 46,8.2,"1,945 reviews",$352
440,Hôtel Caron le Marais,8.7,684 reviews,$352
441,Simon's Boutique Hôtel,8.1,"1,447 reviews",$352
442,Hotel Alhambra,8.0,"3,959 reviews",$352
443,Hôtel Des Arts-Bastille,8.0,"2,588 reviews",$352
444,Hôtel de l'Avre,8.4,"1,210 reviews",$353
445,Hôtel Veryste Paris,8.2,783 reviews,$354
446,Hotel Lorette - Astotel,8.6,"1,800 reviews",$354
447,Graphik Montparnasse,8.4,956 reviews,$354
448,Apartments Tour Eiffel Alésia Paris centre,1.0,1 review,$355
449,Novotel Paris Porte Versailles,8.5,"6,208 reviews",$356
450,Le Grand Hôtel de Normandie,7.7,"1,381 reviews",$356
451,Hotel Albe Bastille,8.2,"2,130 reviews",$356
452,Hôtel Beaurepaire,7.4,668 reviews,$356
453,Bob Hotel,8.3,"1,263 reviews",$356
454,"voco Paris Montparnasse, an IHG Hotel",8.3,"3,304 reviews",$357
455,R. Kipling by Happyculture,7.7,"1,221 reviews",$357
456,Hotel Magenta 38 by Happyculture,8.1,"2,064 reviews",$357
457,Hôtel L'Interlude,8.2,"2,074 reviews",$357
458,ibis Maine Montparnasse,7.5,"1,624 reviews",$357
459,Hôtel du Jardin des Plantes,7.6,"2,130 reviews",$358
460,Apartments WS Louvre - Etienne Marcel,7.3,421 reviews,$358
461,3 Suites appartement,8.9,83 reviews,$358
462,Mercure Paris Gare du Nord,7.4,799 reviews,$358
463,Hôtel Jeanne d'Arc Le Marais,7.9,"1,413 reviews",$358
464,Hôtel Regina Opéra Grands Boulevards,7.6,"1,845 reviews",$359
465,ibis Paris Tour Montparnasse 15eme,7.5,619 reviews,$359
466,ibis Paris Gare de Lyon Ledru Rollin,8.1,"1,983 reviews",$359
467,CMG Résidence Caire/ Saint-Denis,8.3,18 reviews,$360
468,Hotel Korner Montparnasse,7.9,"1,478 reviews",$360
469,Sublim by Sweet Inn,8.1,464 reviews,$360
470,Hotel Geoffroy Marie Opéra,8.0,481 reviews,$361
471,Mercure Paris Alesia,8.4,"1,812 reviews",$361
472,Maison Barbès,8.2,"1,965 reviews",$362
473,La Suite de Montorgueil,9.5,2 reviews,$362
474,Hotel Saint Honore 85,7.4,"1,218 reviews",$362
475,Hotel de Neuve by Happyculture,7.9,849 reviews,$362
476,Staycity Aparthotels Paris Gare de l'Est,8.8,73 reviews,$363
477,Hotel Ile de France Opéra,7.7,715 reviews,$363
478,Hotel Louvre Bons Enfants,7.5,"1,977 reviews",$363
479,Hôtel Etoile Trocadéro,8.2,"1,652 reviews",$364
480,ibis Styles Paris République Le Marais,7.1,"1,149 reviews",$364
481,ibis Paris Père Lachaise,8.0,681 reviews,$364
482,Le 7ème ciel,Exceptional 9.6,29 external reviews,$365
483,Hotel Villa Nicolo - Tour Eiffel,9.0,"1,200 reviews",$365
484,ibis Paris Gare de Lyon Diderot,8.0,"2,080 reviews",$365
485,Ibis Styles Hotel Paris Gare de Lyon Bastille,8.2,"1,634 reviews",$365
486,Hôtel Sophie Germain,8.2,"1,058 reviews",$365
487,Best Western Nouvel Orléans Montparnasse,7.8,"2,246 reviews",$366
488,ibis Paris Bercy Village,8.1,"3,774 reviews",$366
489,Ibis Styles Paris Massena Olympiades,8.2,"2,153 reviews",$366
490,TRIBE Paris Batignolles,8.5,"1,646 reviews",$366
491,Villathena,8.1,824 reviews,$366
492,Mercure Paris Bercy Bibliothèque,8.3,"2,463 reviews",$366
493,ibis Styles Paris Alesia Montparnasse,7.6,609 reviews,$367
494,Hôtel Opéra Liège,8.7,988 reviews,$367
495,Stella Etoile,8.1,"1,739 reviews",$368
496,ibis Styles Paris Gare De Lyon TGV,8.3,924 reviews,$368
497,Hotel Apolonia Paris Montmartre; Sure Hotel Collection by Best Western,8.1,"1,989 reviews",$368
498,Best Stay Jeuneurs,8.4,523 reviews,$369
499,Hôtel Henri IV Rive Gauche,8.4,"1,804 reviews",$369
500,Citadines Montparnasse Paris,7.9,"1,498 reviews",$369
501,Hôtel Arvor Saint Georges,8.4,814 reviews,$370
502,Albert's Hotel,8.0,931 reviews,$370
503,Motel One Paris-Porte Dorée,8.7,"6,882 reviews",$370
504,Hôtel De La Porte Dorée,8.4,"3,072 reviews",$370
505,Hotel Ascot Opera,8.1,"1,950 reviews",$370
506,HOTEL DE PARIS MONTPARNASSE,7.9,"2,943 reviews",$370
507,Royal Saint Germain,8.0,714 reviews,$370
508,Suites & Hôtel Helzear Montparnasse,8.2,827 reviews,$371
509,Novotel Paris 20 Belleville,8.3,"2,696 reviews",$371
510,Ibis Styles Paris Gare de l'Est Magenta,7.8,"1,065 reviews",$371
511,"Hotel Litteraire Marcel Ayme, BW Premier Collection",8.7,"1,794 reviews",$371
512,"The Originals Boutique, Hôtel Maison Montmartre, Paris",7.7,"3,715 reviews",$371
513,Citadines Bastille Marais Paris,7.9,"3,030 reviews",$372
514,Citadines Bastille Gare de Lyon Paris,7.9,"2,666 reviews",$372
515,Citadines Austerlitz Paris,8.2,"1,877 reviews",$372
516,ibis Paris Grands Boulevards Opéra 9e,8.0,"2,077 reviews",$372
517,XO Hotel Paris,8.8,891 reviews,$373
518,Vice Versa,7.8,638 reviews,$373
519,Mercure Paris Vaugirard Porte De Versailles,8.3,"1,950 reviews",$374
520,Art Hotel Eiffel,8.2,"1,924 reviews",$375
521,Hôtel Mistral,8.7,564 reviews,$375
522,Apartments WS Champs Elysées - Ponthieu,7.1,501 reviews,$375
523,Hôtel Garance,7.5,"1,229 reviews",$375
524,Louvre Marsollier Opera,7.6,"1,262 reviews",$376
525,Hotel Mademoiselle,8.1,850 reviews,$377
526,Ampère,8.6,"1,692 reviews",$377
527,L'Ouest Hotel,8.2,"1,885 reviews",$377
528,Europe Hotel Paris Eiffel,8.0,"1,497 reviews",$377
529,Hôtel Augustin - Astotel,8.7,"1,062 reviews",$379
530,Hotel La Manufacture,8.3,"2,130 reviews",$379
531,Hôtel La Nouvelle République & Hammam,8.6,"1,243 reviews",$379
532,Villa Margaux Opéra Montmartre,7.9,"1,476 reviews",$380
533,Oh la la ! Hotel Bar Paris Bastille,8.9,770 reviews,$381
534,Tilsitt Etoile,8.4,"1,035 reviews",$381
535,Hotel Flanelles Paris,8.3,162 reviews,$381
536,Hôtel Les Deux Gares,8.3,844 reviews,$382
537,Citadines Montmartre Paris,8.0,"2,283 reviews",$382
538,Alba Opéra Hôtel,8.2,659 reviews,$382
539,Midnight Hotel Paris,7.1,"1,092 reviews",$382
540,Timhotel Opera Madeleine,7.6,"2,061 reviews",$382
541,Aparthotel Adagio Access Paris Philippe Auguste,7.8,"1,203 reviews",$383
542,"Hotel Apolonia Paris Mouffetard, Sure Hotel Collection by Best Western",8.3,"1,577 reviews",$383
543,Grand Hôtel Amelot,8.1,"4,363 reviews",$383
544,Appartement Quartier Bastille,7.5,34 reviews,$383
545,Appartement Quartier Champs-Élysées 3,7.0,22 reviews,$383
546,Appartement Quartier Opera,7.3,25 reviews,$383
547,Le Nest by Sweet Inn,8.7,308 reviews,$383
548,Le Général Hôtel,9.0,"1,184 reviews",$383
549,Hôtel D'Alsace,7.5,779 reviews,$383
550,Aparthotel Adagio Porte de Versailles,7.5,"3,451 reviews",$384
551,Hotel Sacha,8.0,"1,269 reviews",$384
552,Hotel Andréa,7.1,"1,525 reviews",$384
553,Apart hotel Le Marais Centre de Paris,7.9,146 reviews,$384
554,RESIDENCE MONTORGUEIL,7.8,155 reviews,$384
555,Hôtel des Deux Avenues,7.3,"1,293 reviews",$385
556,Le 20 Prieuré Hôtel,8.0,"1,176 reviews",$385
557,Hôtel Des Mines,8.2,"1,168 reviews",$385
558,Aparthotel Adagio Access Paris Reuilly,8.1,"2,117 reviews",$386
559,Oceania Paris Porte De Versailles,8.0,"1,912 reviews",$386
560,A 20 minutes à pied de l'Arc de Triomphe!,10,1 review,$387
561,Hôtel Bonne Nouvelle,8.1,"2,338 reviews",$388
562,Le Clos Medicis,7.9,717 reviews,$388
563,Paris Home Collection Serviced Apartments in Opéra - Rue Saint-Lazare,9.6,9 reviews,$388
564,Citadines Trocadéro Paris,8.4,"2,008 reviews",$388
565,Grand Hotel Francais,8.5,693 reviews,$388
566,Best Western Plus La Demeure,8.2,"1,194 reviews",$389
567,Mercure Paris Gare Montparnasse,8.0,"1,627 reviews",$390
568,Hotel Splendor Elysées,8.3,"1,490 reviews",$390
569,Hotel Cervantes by Happyculture,8.5,"1,513 reviews",$390
570,Hotel Le Mareuil,8.9,965 reviews,$390
571,Hôtel Central Saint Germain,8.2,"1,122 reviews",$391
572,Best Western Aramis Saint Germain,8.1,"1,675 reviews",$391
573,Hotel Park Lane Paris,8.0,"1,795 reviews",$391
574,Arc de Triomphe Etoile,8.1,"1,476 reviews",$392
575,Happy Stay Paris - Loft Paris Center,8.0,1 review,$392
576,Hotel Rendez-Vous Batignolles,8.6,"1,395 reviews",$392
577,Hôtel Elysées Paris,7.3,69 reviews,$392
578,Hôtel du Théâtre by Patrick Hayat,8.1,391 reviews,$392
579,Best Western Plus Hôtel Mercedes,8.6,515 reviews,$392
580,Hôtel Océanic - Grands Magasins,8.6,"1,246 reviews",$393
581,Grand Hotel Chicago,8.5,982 reviews,$393
582,La Finca Hôtel & Spa,8.6,"1,200 reviews",$393
583,ibis Styles Paris Cadet Lafayette,8.1,985 reviews,$393
584,Hôtel Montparnasse Saint Germain,8.0,"1,457 reviews",$393
585,Hotel Beauvoir,7.7,940 reviews,$394
586,Hotel Michelet Odeon,7.9,754 reviews,$394
587,Luxury 2 Bedroom With Balcony - Louvre & Notre Dame,7.8,25 reviews,$394
588,Grand Hotel Lafayette,8.2,"1,583 reviews",$394
589,Hotel Les Bulles De Paris,8.0,"2,593 reviews",$394
590,Timhotel Invalides Eiffel,7.7,873 reviews,$394
591,Hôtel Cabane - Orso Hotels,8.5,983 reviews,$394
592,Le Marais Superb Apartment Terrace Paris,8.6,10 reviews,$394
593,Mercure Paris Gare De Lyon Opera Bastille,8.1,"1,352 reviews",$395
594,ibis Styles Paris Bercy,7.4,"8,432 reviews",$395
595,Appart'City Collection Paris Gare de Lyon,9.0,287 reviews,$395
596,Cozy 1 Mezzanine & 1Bedroom Louvre Moulins Free Netflix,6.7,103 reviews,$395
597,Les Champs Elysées-125m2 Modern and Spacious,10,1 review,$395
598,Five Boutique Hotel Paris Quartier Latin,7.6,953 reviews,$395
599,Courcelles Médéric,7.8,713 reviews,$396
600,"Luxury 2 Bedroom 2,5 Bathroom - Louvre & Notre Dame",6.8,14 reviews,$396
601,ibis Styles Paris 15 Lecourbe,7.8,608 reviews,$396
602,Mercure Paris Opéra Faubourg Montmartre,7.9,800 reviews,$396
603,Zoku Paris,9.0,770 reviews,$397
604,Gardette Park Hotel,8.0,"1,164 reviews",$397
605,Elysées Hôtel,7.0,"1,486 reviews",$397
606,Hôtel Félicien by Elegancia,7.9,"1,048 reviews",$398
607,Magda Champs Elysées,8.5,"2,288 reviews",$398
608,Windsor Opera,8.7,318 reviews,$398
609,Hôtel de France Gare de Lyon Bastille,8.6,"2,412 reviews",$398
610,Hôtel Poussin,7.0,387 reviews,$398
611,Hôtel Odyssey by Elegancia,8.0,"1,120 reviews",$399
612,Hotel Claude Bernard Saint-Germain,7.8,"1,359 reviews",$400
613,Apartments WS Louvre - Richelieu,7.7,"1,831 reviews",$400
614,Georgette Hôtel & Restaurant,8.2,790 reviews,$400
615,Le Ferdinand - Le Marais Serviced Apartments,8.3,367 reviews,$400
616,Novotel Paris Vaugirard Montparnasse,8.1,"1,798 reviews",$401
617,Ibis Paris Gare Montparnasse 15ème,7.3,562 reviews,$401
618,Hôtel Le M,8.0,"1,449 reviews",$402
619,New Hotel Le Voltaire,8.0,"1,188 reviews",$402
620,Hotel Taylor,8.7,"3,129 reviews",$402
621,Hôtel Cordelia Opéra-Madeleine,8.3,"1,004 reviews",$402
622,Madrigal,8.4,"1,398 reviews",$403
623,Mercure Paris Montparnasse Pasteur,7.8,767 reviews,$403
624,Apartments WS Hôtel de Ville - Musée Pompidou,7.3,604 reviews,$403
625,Hotel Palm - Astotel,8.9,"1,063 reviews",$404
626,Hôtel Henriette,8.9,871 reviews,$404
627,Okko Hotels Paris Porte De Versailles,8.4,"1,203 reviews",$405
628,Grand Hotel du Loiret,8.0,"1,960 reviews",$405
629,Hotel Elysa-Luxembourg,8.5,"1,987 reviews",$405
630,Acacias Etoile,8.4,"2,126 reviews",$406
631,Eiffel Kennedy,8.2,"1,223 reviews",$406
632,Tonic Hotel Saint Germain des Prés,7.0,761 reviews,$407
633,Hotel 34B - Astotel,8.8,"2,262 reviews",$408
634,Hôtel Derby Eiffel,7.9,701 reviews,$408
635,Hôtel Beaubourg,8.2,475 reviews,$408
636,Hôtel du Parc Montsouris,7.7,"1,107 reviews",$408
637,ibis Paris Bastille Opera,8.0,"4,263 reviews",$409
638,Hôtel Diva Opera,8.1,"1,661 reviews",$409
639,Best Western Plus Quartier Latin Pantheon,7.8,"2,155 reviews",$409
640,Hôtel Bienvenue,7.9,355 reviews,$410
641,Appartement Quartier Le Marais 1,8.3,54 reviews,$410
642,Citadines Place d'Italie Paris,7.9,"2,889 reviews",$410
643,Appartement Quartier Montparnasse,7.2,41 reviews,$410
644,Hôtel Le 46,8.4,"1,098 reviews",$411
645,Grand Hôtel Dechampaigne,7.7,"1,841 reviews",$411
646,Serotel Lutèce,8.5,"2,400 reviews",$412
647,Novotel Paris Centre Gare Montparnasse,8.1,"2,599 reviews",$412
648,Carladez Cambronne,7.6,"2,039 reviews",$412
649,Hôtel R de Paris - Boutique Hotel,8.7,708 reviews,$412
650,Hôtel Saint Martin Bastille,8.5,"2,204 reviews",$413
651,HOTEL AU COEUR DES ARTS ET METIERS,8.1,"1,631 reviews",$413
652,HOTEL AU COEUR DE REPUBLIQUE,8.0,854 reviews,$413
653,Arc De Triomphe,8.0,710 reviews,$413
654,Hôtel Brésil Opéra SPA,8.2,"2,687 reviews",$413
655,Le Katorze Hôtel,8.4,"1,141 reviews",$413
656,Hôtel des 3 Collèges,8.0,907 reviews,$414
657,Hotel OFF Paris Seine,8.4,"2,176 reviews",$415
658,Kraft Hotel,9.2,9 reviews,$415
659,Idol Hotel,8.7,567 reviews,$416
660,One-of-a-Kind Spacious Home in Le Marais,8.0,3 reviews,$416
661,Hotel Scarlett,8.1,"1,255 reviews",$416
662,Hotel du Lys,7.7,"1,601 reviews",$416
663,25hours Hotel Terminus Nord,8.4,"2,788 reviews",$417
664,La Villa des Ternes,8.2,857 reviews,$417
665,Hotel Joke - Astotel,9.0,"1,191 reviews",$417
666,Hotel Joyce - Astotel,8.8,978 reviews,$417
667,Queen Mary Opera,8.4,"1,030 reviews",$417
668,Hotel 10 Opéra by HappyCulture,8.2,"1,797 reviews",$417
669,Le Paris Singulier,8.6,111 reviews,$417
670,Hotel Habituel,7.5,758 reviews,$417
671,Le 123 Elysees - Astotel,8.8,638 reviews,$418
672,Serotel Suites Opera,8.4,366 reviews,$418
673,Hôtel Victoria Châtelet,7.7,"1,708 reviews",$418
674,Mercure Paris 17 Batignolles,8.2,"1,268 reviews",$420
675,Marmotel Etoile,7.5,"1,296 reviews",$421
676,Hôtel Elixir,7.6,"1,297 reviews",$421
677,Villa des Ambassadeurs,7.8,737 reviews,$421
678,Mercure Paris Bastille Saint Antoine,7.8,435 reviews,$422
679,Monceau Elysées,8.5,"1,141 reviews",$422
680,Hôtel Le Marcel Paris Gare de l'Est,7.6,928 reviews,$424
681,Maison Malesherbes,8.6,560 reviews,$424
682,"Holiday Inn Paris Montmartre, an IHG Hotel",8.3,978 reviews,$425
683,Hotel Panache,8.4,481 reviews,$425
684,Hôtel AMI - Orso Hotels,8.5,"1,042 reviews",$425
685,Hôtel Louvre Richelieu,8.5,943 reviews,$425
686,Hôtel Raspail Montparnasse,8.2,"1,251 reviews",$425
687,Ibis Styles Paris Gare Saint Lazare,8.0,"1,271 reviews",$426
688,Le Grand Quartier,8.7,"1,393 reviews",$427
689,Apartments WS Marais - République,7.8,520 reviews,$427
690,2 Bedrooms Le Marais Nazareth,7.3,108 reviews,$427
691,Mercure Paris Gare Montparnasse TGV,7.7,"7,440 reviews",$427
692,Luxury résidence in Le Marais,Exceptional 10,7 external reviews,$428
693,Hotel Etoile Saint Ferdinand by Happyculture,8.0,"1,733 reviews",$428
694,Cozy Room nearby Champs Elysées,6.3,8 reviews,$428
695,Sonder Quintinie,8.4,354 reviews,$428
696,Austin's Arts Et Metiers Hotel,8.1,"1,951 reviews",$429
697,Pavillon Opéra Grands Boulevards,7.5,544 reviews,$429
698,Hotel Monsieur & Spa,8.4,"1,247 reviews",$429
699,Hôtel Delavigne,8.9,"1,936 reviews",$429
700,Seven Hotel,8.9,"1,393 reviews",$430
701,Best Western Empire Elysees,8.1,"4,889 reviews",$430
702,Best Western Premier Trocadero La Tour,8.0,669 reviews,$430
703,Hôtel Paris Louvre Opéra,8.2,"1,041 reviews",$430
704,Hotel Des Arenes,8.1,"3,346 reviews",$430
705,Rose Bourbon,8.3,"1,416 reviews",$430
706,Hotel Archetype Etoile,8.6,"1,018 reviews",$432
707,Hotel Opéra Marigny,8.1,"1,175 reviews",$433
708,Le Relais du Marais,8.0,"1,044 reviews",$433
709,Hotel Odeon Saint-Germain,7.9,439 reviews,$433
710,Hôtel A La Villa des Artistes,8.6,"1,555 reviews",$433
711,Hôtel Perreyve - Jardin du Luxembourg,8.0,"1,053 reviews",$433
712,Hotel Paradis,8.2,503 reviews,$433
713,Hôtel le Clos de Notre Dame,7.9,805 reviews,$434
714,Apartments WS Louvre - Sainte-Anne,7.9,324 reviews,$435
715,Mercure Paris Place d'Italie,7.8,777 reviews,$436
716,Hôtel 31 - Paris Tour Eiffel,8.6,"4,309 reviews",$436
717,Hôtel Jardin Le Bréa,8.5,390 reviews,$437
718,OKKO Hotels Paris Gare de l'Est,8.3,"3,056 reviews",$438
719,Pavillon Monceau,7.9,"1,695 reviews",$438
720,Appartement Quartier Parc Monceau,8.4,21 reviews,$438
721,Le Grey Hotel,8.6,"1,832 reviews",$439
722,Amiral Hôtel,7.4,"2,724 reviews",$439
723,La Villa Royale,7.2,"1,327 reviews",$440
724,Mercure Paris Montparnasse Raspail,8.1,595 reviews,$441
725,New Hotel Lafayette,7.8,"1,408 reviews",$441
726,ibis styles Paris Montmartre Batignolles,7.9,"1,626 reviews",$442
727,Residence Inn by Marriott Paris Didot Montparnasse,8.4,209 reviews,$442
728,BE YOU LUXURY APART'HÔTEL Paris,8.6,405 reviews,$444
729,Hotel de l'Aqueduc,7.2,"3,759 reviews",$444
730,Hôtel Le Beaugency,8.2,"1,630 reviews",$444
731,Romance Malesherbes by Patrick Hayat,7.6,381 reviews,$444
732,La Belle Ville,8.7,"2,715 reviews",$444
733,Moxy Paris Bastille,8.0,"1,654 reviews",$445
734,Classics Hotel Bastille,7.8,"1,608 reviews",$446
735,Hotel Sleeping Belle,8.7,"1,624 reviews",$447
736,Verlain,7.8,"1,235 reviews",$447
737,Hôtel International Paris,8.3,761 reviews,$447
738,Hotel Delambre,8.2,573 reviews,$447
739,French Theory,8.4,"2,209 reviews",$448
740,Hôtel Joe M,8.4,"1,615 reviews",$448
741,Hôtel du Triangle d'Or,8.6,"1,163 reviews",$448
742,Luxury Living à Montorgueil,10,2 reviews,$450
743,Grand Hôtel de L'Univers Saint-Germain,8.8,"2,642 reviews",$450
744,Hotel Left Bank Saint Germain,8.7,"1,095 reviews",$450
745,Hotel Choiseul Opera,8.4,"4,799 reviews",$450
746,Crystal Hotel,8.0,907 reviews,$450
747,Hôtel Pastel Paris,8.3,633 reviews,$452
748,Hotel Miramar,8.0,"2,480 reviews",$452
749,Hôtel de Sèvres,8.1,320 reviews,$452
750,Arioso,8.7,"1,381 reviews",$453
751,Hôtel Wallace - Orso Hotels,8.5,608 reviews,$453
752,Austin's Saint Lazare Hotel,8.1,"2,443 reviews",$453
753,Mama Shelter Paris West,8.4,"1,798 reviews",$454
754,Pullman Paris Centre - Bercy,8.3,"1,898 reviews",$454
755,Hôtel Regent's Garden - Astotel,8.9,857 reviews,$454
756,Les Jardins De La Villa,8.6,939 reviews,$454
757,Hotel Paris Opera Affiliated by Meliá,7.4,420 reviews,$454
758,Pick A Flat's Apartment in Saint Michel - Rue Du Sommerard,7.6,169 reviews,$455
759,Residhome Paris Opéra,7.5,669 reviews,$455
760,Hôtel Malar,7.0,607 reviews,$455
761,Hotel d'Espagne,8.1,"1,466 reviews",$456
762,Star Champs-Elysées,8.7,780 reviews,$456
763,Hôtel Du Prince Eugène,8.4,"1,595 reviews",$456
764,Best Western Opéra Faubourg,7.8,"1,920 reviews",$456
765,Hotel Opéra Opal,8.5,859 reviews,$458
766,Hotel Whistler,8.5,"1,412 reviews",$458
767,Hôtel Oratio,8.8,"1,500 reviews",$458
768,Hotel De Suede Saint Germain,8.6,191 reviews,$458
769,Marais Lovely,8.9,329 reviews,$458
770,Hilton Garden Inn Paris La Villette,8.7,173 reviews,$459
771,Mercure Paris Notre Dame Saint Germain des Prés,8.0,672 reviews,$460
772,Handsome Hotel By Elegancia,8.3,"1,042 reviews",$461
773,Hôtel Bedford,8.3,"2,407 reviews",$461
774,Le Bellune Paris,8.7,"1,507 reviews",$461
775,Les Tournelles,8.8,970 reviews,$461
776,New Orient Hotel,8.7,944 reviews,$461
777,Hôtel des Ducs D'Anjou,7.4,"1,253 reviews",$463
778,Victoires Opera,7.6,602 reviews,$463
779,Hôtel de La Boétie,8.9,57 reviews,$463
780,Hôtel Du Bois Champs-Elysées,8.0,"2,085 reviews",$464
781,Hôtel La Conversation,8.2,925 reviews,$464
782,ibis Styles Paris Eiffel Cambronne,7.7,"1,240 reviews",$464
783,Hotel Fontaines du Luxembourg,8.5,909 reviews,$466
784,Hôtel Magellan,8.7,"1,243 reviews",$466
785,Mercure Paris 15 Porte de Versailles,7.8,303 reviews,$467
786,Hotel Elysée Secret,7.2,830 reviews,$469
787,26 Faubourg - Ex-Hotel de Reims,7.9,754 reviews,$469
788,Hôtel Rosalie,8.7,"1,624 reviews",$470
789,Odalys City Paris Montmartre,8.7,"2,682 reviews",$470
790,Hotel & Spa Saint-Jacques,8.3,"1,505 reviews",$471
791,Maison Saintonge,8.4,564 reviews,$471
792,Hotel de Flore - Montmartre,8.6,"2,919 reviews",$471
793,Hôtel Harvey,8.5,522 reviews,$471
794,Hotel de France Invalides,7.8,"1,518 reviews",$472
795,Courtyard by Marriott Paris Gare de Lyon,8.5,"1,822 reviews",$472
796,TOUR EIFFEL BEAUGRENELLE CONVENTION PARIS,7.1,11 reviews,$473
797,Mercure Paris Gare De Lyon TGV,8.0,"2,696 reviews",$474
798,Hotel Les Théâtres,7.9,591 reviews,$474
799,Hotel Massena,7.8,869 reviews,$474
800,Dauphine Saint Germain,7.9,975 reviews,$474
801,Sonder Le Frochot,7.5,707 reviews,$476
802,101 - Urban Centre Pompidou,6.1,21 reviews,$478
803,Moris Grands Boulevards,8.7,"2,212 reviews",$480
804,Hôtel Palais De Chaillot,8.7,791 reviews,$480
805,Hotel Bridget,8.0,"1,103 reviews",$480
806,Hôtel Eden Opéra,8.2,806 reviews,$480
807,Hôtel Beauchamps,7.3,"1,740 reviews",$481
808,Hôtel Maxim Folies,8.6,"1,568 reviews",$481
809,Hôtel De Castiglione,7.5,"3,711 reviews",$483
810,Hôtel Vendome Saint-Germain,8.6,"2,045 reviews",$483
811,Maison Eugenie,8.1,552 reviews,$483
812,Elysées Ceramic,8.3,"4,068 reviews",$484
813,Ibis Styles Paris Pigalle Montmartre,7.3,382 reviews,$484
814,Hôtel Madeleine Haussmann,8.2,"1,124 reviews",$485
815,Hôtel Albe Saint Michel,8.5,"3,271 reviews",$486
816,My Cottage in Paris,9.5,22 reviews,$487
817,Hôtel Le Milie Rose,9.1,"2,311 reviews",$487
818,Hotel Petit Lafayette,8.7,"1,453 reviews",$487
819,Villa Eiffel Mademoiselle,8.4,797 reviews,$487
820,Hotel Des Deux Continents,8.0,"1,509 reviews",$488
821,Hotel Camille Paris Tapestry Collection by Hilton,7.9,184 reviews,$489
822,Novotel Paris Centre Tour Eiffel,7.4,"6,044 reviews",$490
823,Hôtel Hélios Opéra,8.3,"1,010 reviews",$490
824,citizenM Paris Gare de Lyon,8.3,"10,162 reviews",$491
825,Hotel Yllen Eiffel,8.8,"2,552 reviews",$491
826,Régence Etoile,8.5,"1,151 reviews",$491
827,Auteuil Tour Eiffel,8.3,"1,936 reviews",$491
828,Hotel Touraine Opera,8.9,"2,300 reviews",$491
829,Hôtel Léopold - Orso Hotels,8.5,"1,047 reviews",$492
830,Hotel Monsieur Helder,8.1,686 reviews,$493
831,Hotel Suites Unic Renoir Saint-Germain,7.1,272 reviews,$493
832,Aparthotel Adagio Paris Nation,8.4,"2,061 reviews",$493
833,Hotel Aulivia Opéra,8.0,"1,036 reviews",$494
834,Folkestone Opéra,8.3,"1,175 reviews",$494
835,Luxury 4 Bedrooms 3 Bathrooms Apartment - Opera Louvre,7.0,7 reviews,$494
836,Hôtel Hor Europe,8.8,"2,712 reviews",$495
837,Atala powered by Sonder,8.1,"1,106 reviews",$496
838,Yuna Les Halles - Serviced Apartments,8.8,357 reviews,$496
839,Le Bailli,8.0,"1,004 reviews",$498
840,Hôtel Les Deux Girafes,9.0,720 reviews,$498
841,Hotel de la Bretonnerie,8.1,660 reviews,$499
842,Monsieur Cadet Hotel & Spa,8.7,976 reviews,$500
843,Hôtel Plaza Étoile,8.2,"1,347 reviews",$500
844,Best Western Ronceray Opéra,7.7,"1,148 reviews",$501
845,Hôtel de Notre-Dame,8.2,963 reviews,$501
846,"Hotel Litteraire Le Swann, BW Premier Collection",8.4,"2,321 reviews",$502
847,Hôtel Marais Bastille,8.4,762 reviews,$503
848,Mercure Paris Opera Lafayette,7.4,161 reviews,$504
849,Hyatt Regency Paris Etoile,8.3,"3,779 reviews",$504
850,Floride-Etoile,8.5,"1,127 reviews",$504
851,Hôtel Vic Eiffel,8.8,"1,313 reviews",$504
852,Hôtel Londres et New York - Teritoria,8.0,343 reviews,$504
853,1K Paris,7.5,851 reviews,$504
854,Hotel Eden,8.4,"1,421 reviews",$505
855,Hôtel des Arts Montmartre,9.6,"3,219 reviews",$505
856,Hotel Caumartin Opéra - Astotel,8.0,"1,092 reviews",$505
857,Hôtel De l'Arcade,8.3,"1,298 reviews",$505
858,Hôtel La Canopée,9.0,"1,174 reviews",$505
859,Hôtel de Bellevue Paris Gare du Nord,8.1,536 reviews,$505
860,Le 123 Sébastopol - Astotel,9.0,"1,439 reviews",$506
861,Hôtel Eiffel Saint Charles,8.9,"1,579 reviews",$507
862,Hôtel Atlantis,7.9,"1,245 reviews",$507
863,Hôtel Crayon Rouge by Elegancia,8.4,507 reviews,$507
864,Hotel Le petit Paris,8.6,519 reviews,$508
865,Hotel Orphée - Orso Hotels,8.1,"1,271 reviews",$510
